[1681737660000, '29402.06000000', '29435.88000000', '28999.47000000', '29400.04000000', '16.54759500']
[1681737840000, '29400.04000000', '29405.49000000', '28733.01000000', '29347.19000000', '21.41595000']
[1681738020000, '29347.19000000', '29391.12000000', '28999.47000000', '29360.06000000', '21.63407800']
[1681738200000, '29360.06000000', '29395.38000000', '28999.47000000', '29385.34000000', '24.20959300']
[1681738380000, '29385.01000000', '29613.55000000', '29338.56000000', '29432.06000000', '23.14725300']
[1681738560000, '29422.25000000', '29851.93000000', '29418.98000000', '29453.04000000', '19.12667800']
[1681738740000, '29453.63000000', '29469.98000000', '29435.95000000', '29453.53000000', '17.81005100']
[1681738920000, '29453.52000000', '29458.34000000', '29395.05000000', '29430.46000000', '21.37044900']
[1681739100000, '29430.46000000', '29441.98000000', '28481.38000000', '29385.25000000', '20.08850900']
[1681739280000, '29385.25000000', '29399.99000000', '29370.22000000', '29399.99000000', '19.27550100']
[1681739460000, '29400.00000000', '29434.75000000', '29375.10000000', '29378.61000000', '18.45579500']
[1681739640000, '29381.32000000', '29412.44000000', '29360.00000000', '29399.52000000', '21.02006900']
[1681739820000, '29396.97000000', '29406.54000000', '28566.66000000', '29382.40000000', '24.36310900']
[1681740000000, '29382.40000000', '29417.77000000', '29381.78000000', '29411.99000000', '17.81309300']
[1681740180000, '29412.00000000', '29425.79000000', '29359.21000000', '29382.60000000', '15.22914000']
[1681740360000, '29382.60000000', '29410.66000000', '29380.90000000', '29396.51000000', '16.75972300']
[1681740540000, '29396.00000000', '29418.34000000', '29390.24000000', '29413.58000000', '21.56293300']
[1681740720000, '29413.57000000', '29436.62000000', '29412.18000000', '29430.00000000', '18.07914200']
[1681740900000, '29432.82000000', '29458.13000000', '29432.82000000', '29455.06000000', '16.18482400']
[1681741080000, '29455.07000000', '29471.96000000', '29446.40000000', '29456.59000000', '17.77521200']
[1681741260000, '29456.58000000', '29458.66000000', '29441.17000000', '29449.00000000', '13.12961400']
[1681741440000, '29449.00000000', '29481.96000000', '29448.78000000', '29481.26000000', '11.34361200']
[1681741620000, '29481.26000000', '29482.09000000', '29452.21000000', '29452.21000000', '11.65973200']
[1681741800000, '29452.22000000', '29477.51000000', '29452.21000000', '29473.29000000', '8.28555600']
[1681741980000, '29472.41000000', '29472.41000000', '29437.23000000', '29451.30000000', '8.74135400']
[1681742160000, '29451.24000000', '29451.24000000', '29390.00000000', '29405.50000000', '7.18356200']
[1681742340000, '29405.50000000', '29405.50000000', '29361.55000000', '29377.56000000', '9.50683600']
[1681742520000, '29377.55000000', '29388.77000000', '29356.75000000', '29388.76000000', '7.25013900']
[1681742700000, '29388.59000000', '29495.19000000', '29358.61000000', '29396.34000000', '15.99678800']
[1681742880000, '29396.33000000', '29413.87000000', '29391.37000000', '29391.37000000', '16.29594500']
[1681743060000, '29391.00000000', '29421.51000000', '29375.75000000', '29421.51000000', '11.28934000']
[1681743240000, '29421.50000000', '29421.51000000', '29408.55000000', '29417.26000000', '3.95670300']
[1681743420000, '29417.25000000', '29443.81000000', '29417.25000000', '29440.42000000', '8.88046200']
[1681743600000, '29440.42000000', '29445.34000000', '29409.54000000', '29416.51000000', '10.94761200']
[1681743780000, '29419.54000000', '29444.99000000', '29403.50000000', '29444.99000000', '7.14066500']
[1681743960000, '29444.99000000', '29458.18000000', '29442.16000000', '29458.18000000', '6.60122400']
[1681744140000, '29458.18000000', '29465.11000000', '29443.42000000', '29443.42000000', '10.43171800']
[1681744320000, '29443.42000000', '29443.43000000', '29422.67000000', '29423.15000000', '4.75236400']
[1681744500000, '29423.14000000', '29449.57000000', '29423.14000000', '29444.91000000', '5.41957800']
[1681744680000, '29444.90000000', '29444.91000000', '29406.42000000', '29417.44000000', '9.22920400']
[1681744860000, '29417.43000000', '29417.44000000', '29405.00000000', '29416.81000000', '5.72339400']
[1681745040000, '29416.81000000', '29416.82000000', '29405.13000000', '29416.63000000', '6.44606100']
[1681745220000, '29416.78000000', '29417.43000000', '29389.57000000', '29389.57000000', '7.27274400']
[1681745400000, '29388.79000000', '29851.93000000', '28481.38000000', '29365.64000000', '17.49831600']
[1681745580000, '29365.64000000', '29365.65000000', '29350.98000000', '29350.98000000', '5.84809700']
[1681745760000, '29350.98000000', '29352.50000000', '29275.34000000', '29279.77000000', '13.27901400']
[1681745940000, '29279.77000000', '29344.09000000', '29247.99000000', '29339.20000000', '16.02007400']
[1681746120000, '29339.20000000', '29353.75000000', '29298.15000000', '29314.40000000', '11.77512800']
[1681746300000, '29314.40000000', '29342.57000000', '29279.48000000', '29342.40000000', '14.65223300']
[1681746480000, '29342.40000000', '29362.69000000', '29342.39000000', '29350.65000000', '8.56228200']
[1681746660000, '29350.61000000', '29356.31000000', '29326.60000000', '29344.64000000', '11.90997900']
[1681746840000, '29344.63000000', '29350.47000000', '29312.67000000', '29350.46000000', '10.80622900']
[1681747020000, '29350.46000000', '29362.51000000', '29345.95000000', '29358.31000000', '8.28242500']
[1681747200000, '29358.30000000', '29370.01000000', '29337.44000000', '29367.69000000', '8.43430500']
[1681747380000, '29366.36000000', '29378.91000000', '29356.82000000', '29360.01000000', '10.86067500']
[1681747560000, '29360.02000000', '29379.35000000', '29360.01000000', '29373.66000000', '10.47325700']
[1681747740000, '29373.66000000', '29380.80000000', '29369.94000000', '29380.80000000', '7.51203600']
[1681747920000, '29380.80000000', '29396.37000000', '29380.80000000', '29390.95000000', '7.22089500']
[1681748100000, '29390.94000000', '29390.95000000', '29378.29000000', '29378.29000000', '7.86844000']
[1681748280000, '29378.29000000', '29393.77000000', '29378.21000000', '29388.75000000', '8.82453500']
[1681748460000, '29388.74000000', '29393.20000000', '29350.44000000', '29352.65000000', '8.55527900']
[1681748640000, '29352.65000000', '29361.69000000', '29332.67000000', '29361.69000000', '10.98331000']
[1681748820000, '29363.12000000', '29414.27000000', '29363.12000000', '29414.27000000', '10.61197300']
[1681749000000, '29414.27000000', '29460.11000000', '29405.38000000', '29430.80000000', '13.57446600']
[1681749180000, '29430.80000000', '29454.28000000', '29430.80000000', '29440.38000000', '9.86437700']
[1681749360000, '29438.59000000', '29474.86000000', '29438.59000000', '29470.92000000', '11.26239400']
[1681749540000, '29470.93000000', '29480.00000000', '29452.85000000', '29468.18000000', '9.99479300']
[1681749720000, '29468.17000000', '29468.18000000', '29451.05000000', '29451.05000000', '4.07206800']
[1681749900000, '29451.06000000', '29468.17000000', '29442.21000000', '29460.00000000', '9.53493800']
[1681750080000, '29461.69000000', '29477.36000000', '29438.90000000', '29456.18000000', '9.44975300']
[1681750260000, '29456.18000000', '29461.27000000', '29446.38000000', '29446.86000000', '4.26211400']
[1681750440000, '29446.87000000', '29468.30000000', '29424.79000000', '29466.68000000', '10.32364400']
[1681750620000, '29466.68000000', '29468.96000000', '29462.01000000', '29464.44000000', '5.15328900']
[1681750800000, '29464.42000000', '29466.09000000', '29453.47000000', '29457.30000000', '7.10293600']
[1681750980000, '29457.76000000', '30074.52000000', '29457.76000000', '29482.94000000', '12.31564400']
[1681751160000, '29482.94000000', '29482.94000000', '29401.99000000', '29450.96000000', '6.89446400']
[1681751340000, '29451.24000000', '29475.07000000', '29451.23000000', '29475.06000000', '7.58566800']
[1681751520000, '29475.06000000', '29527.26000000', '29472.11000000', '29509.33000000', '9.66674700']
[1681751700000, '29509.32000000', '30297.30000000', '29492.12000000', '29519.57000000', '18.00549000']
[1681751880000, '29517.82000000', '29518.62000000', '29498.45000000', '29498.45000000', '5.79365200']
[1681752060000, '29498.46000000', '29498.49000000', '29474.56000000', '29489.68000000', '8.60744100']
[1681752240000, '29489.68000000', '29493.99000000', '29462.67000000', '29475.73000000', '9.23635300']
[1681752420000, '29475.73000000', '29483.56000000', '29473.97000000', '29475.53000000', '3.46513200']
[1681752600000, '29475.53000000', '29497.30000000', '29468.71000000', '29497.30000000', '9.63745100']
[1681752780000, '29497.32000000', '29500.00000000', '29491.85000000', '29491.86000000', '4.94099000']
[1681752960000, '29491.86000000', '29511.79000000', '29491.84000000', '29497.59000000', '5.88809800']
[1681753140000, '29497.59000000', '29497.60000000', '29462.53000000', '29462.53000000', '5.92904000']
[1681753320000, '29462.32000000', '29477.03000000', '29462.31000000', '29474.37000000', '6.21167000']
[1681753500000, '29474.24000000', '29474.29000000', '29472.52000000', '29473.82000000', '3.53337000']
[1681753680000, '29473.83000000', '29507.85000000', '29473.82000000', '29491.85000000', '7.85989700']
[1681753860000, '29491.86000000', '29501.05000000', '29488.34000000', '29488.34000000', '4.65504900']
[1681754040000, '29488.34000000', '29488.34000000', '29458.88000000', '29468.00000000', '5.82750000']
[1681754220000, '29468.00000000', '29492.31000000', '29466.32000000', '29466.32000000', '8.72548000']
[1681754400000, '29466.32000000', '29475.88000000', '29458.09000000', '29466.63000000', '4.95439200']
[1681754580000, '29467.26000000', '29483.18000000', '29460.59000000', '29480.74000000', '10.18175200']
[1681754760000, '29480.82000000', '29495.32000000', '29480.82000000', '29495.32000000', '5.22213100']
[1681754940000, '29495.32000000', '29496.95000000', '29488.40000000', '29496.94000000', '4.33641900']
[1681755120000, '29496.95000000', '29503.59000000', '29469.20000000', '29471.69000000', '3.09923400']
[1681755300000, '29471.69000000', '29492.61000000', '29471.69000000', '29492.61000000', '4.35805000']
[1681755480000, '29492.60000000', '29498.73000000', '29487.50000000', '29498.73000000', '6.74994700']
[1681755660000, '29498.72000000', '29502.21000000', '29487.80000000', '29487.80000000', '4.47581900']
[1681755840000, '29487.80000000', '29502.20000000', '29480.31000000', '29502.20000000', '8.35065800']
[1681756020000, '29502.94000000', '29522.15000000', '29492.73000000', '29522.15000000', '4.93145700']
[1681756200000, '29521.80000000', '29522.27000000', '29502.97000000', '29502.97000000', '7.94335200']
[1681756380000, '29502.96000000', '29502.97000000', '29499.94000000', '29499.94000000', '0.77737800']
[1681756560000, '29499.91000000', '29510.87000000', '29487.72000000', '29508.00000000', '4.23376900']
[1681756740000, '29507.99000000', '29546.34000000', '29507.09000000', '29546.34000000', '8.06518000']
[1681756920000, '29547.16000000', '29547.16000000', '29535.14000000', '29535.14000000', '7.19130600']
[1681757100000, '29535.15000000', '29545.69000000', '29530.33000000', '29543.89000000', '5.97617200']
[1681757280000, '29543.89000000', '29561.65000000', '29523.87000000', '29524.91000000', '7.70805700']
