Open:0.99980000, Max:0.99980000, Min:0.99930000, Close:0.99980000
Open:0.99980000, Max:1.00000000, Min:0.99930000, Close:0.99980000
Open:0.99980000, Max:1.00060000, Min:0.99960000, Close:0.99980000
Open:0.99970000, Max:1.00020000, Min:0.99960000, Close:0.99970000
Open:1.00010000, Max:1.00030000, Min:0.99960000, Close:1.00010000
Open:0.99990000, Max:1.00030000, Min:0.99940000, Close:0.99990000
Open:0.99990000, Max:1.00020000, Min:0.99940000, Close:0.99990000
Open:0.99990000, Max:1.00000000, Min:0.99920000, Close:0.99990000
Open:0.99960000, Max:0.99990000, Min:0.99950000, Close:0.99960000
Open:0.99980000, Max:1.00000000, Min:0.99960000, Close:0.99980000
Open:0.99980000, Max:0.99990000, Min:0.99940000, Close:0.99980000
Open:0.99950000, Max:0.99970000, Min:0.99940000, Close:0.99950000
Open:0.99960000, Max:0.99980000, Min:0.99940000, Close:0.99960000
Open:0.99950000, Max:0.99960000, Min:0.99940000, Close:0.99950000
Open:0.99940000, Max:0.99950000, Min:0.99930000, Close:0.99940000
Open:0.99930000, Max:0.99940000, Min:0.99900000, Close:0.99930000
Open:0.99910000, Max:0.99950000, Min:0.99900000, Close:0.99910000
Open:0.99950000, Max:0.99970000, Min:0.99940000, Close:0.99950000
Open:0.99950000, Max:0.99980000, Min:0.99930000, Close:0.99950000
Open:0.99960000, Max:0.99960000, Min:0.99950000, Close:0.99960000
Open:0.99950000, Max:1.00040000, Min:0.99940000, Close:0.99950000
Open:0.99940000, Max:0.99970000, Min:0.99940000, Close:0.99940000
Open:0.99950000, Max:0.99970000, Min:0.99920000, Close:0.99950000
Open:0.99960000, Max:1.00000000, Min:0.99950000, Close:0.99960000
Open:0.99990000, Max:0.99990000, Min:0.99980000, Close:0.99990000
Open:0.99990000, Max:0.99990000, Min:0.99960000, Close:0.99990000
Open:0.99980000, Max:1.00000000, Min:0.99970000, Close:0.99980000
Open:0.99990000, Max:0.99990000, Min:0.99960000, Close:0.99990000
Open:0.99960000, Max:0.99960000, Min:0.99930000, Close:0.99960000
Open:0.99940000, Max:0.99970000, Min:0.99940000, Close:0.99940000
Open:0.99960000, Max:0.99960000, Min:0.99940000, Close:0.99960000
Open:0.99940000, Max:0.99970000, Min:0.99940000, Close:0.99940000
Open:0.99960000, Max:0.99970000, Min:0.99950000, Close:0.99960000
Open:0.99960000, Max:0.99980000, Min:0.99940000, Close:0.99960000
Open:0.99970000, Max:0.99990000, Min:0.99960000, Close:0.99970000
Open:0.99990000, Max:1.00000000, Min:0.99960000, Close:0.99990000
Open:0.99970000, Max:1.00010000, Min:0.99970000, Close:0.99970000
Open:0.99980000, Max:1.00000000, Min:0.99970000, Close:0.99980000
Open:0.99980000, Max:0.99990000, Min:0.99970000, Close:0.99980000
Open:0.99970000, Max:0.99990000, Min:0.99970000, Close:0.99970000
Open:0.99990000, Max:0.99990000, Min:0.99950000, Close:0.99990000
Open:0.99980000, Max:1.00000000, Min:0.99970000, Close:0.99980000
Open:0.99990000, Max:1.00010000, Min:0.99980000, Close:0.99990000
Open:1.00000000, Max:1.00020000, Min:0.99990000, Close:1.00000000
Open:1.00020000, Max:1.00030000, Min:1.00010000, Close:1.00020000
Open:1.00020000, Max:1.00060000, Min:0.99980000, Close:1.00020000
Open:1.00020000, Max:1.14810000, Min:1.00020000, Close:1.00020000
Open:1.00140000, Max:1.00260000, Min:1.00000000, Close:1.00140000
Open:1.00110000, Max:1.00170000, Min:1.00080000, Close:1.00110000
Open:1.00100000, Max:1.00150000, Min:1.00080000, Close:1.00100000
Open:1.00110000, Max:1.00140000, Min:1.00080000, Close:1.00110000
Open:1.00100000, Max:1.00150000, Min:1.00080000, Close:1.00100000
Open:1.00110000, Max:1.00130000, Min:1.00070000, Close:1.00110000
Open:1.00070000, Max:1.00110000, Min:1.00070000, Close:1.00070000
Open:1.00080000, Max:1.00100000, Min:1.00070000, Close:1.00080000
Open:1.00070000, Max:1.00090000, Min:1.00060000, Close:1.00070000
Open:1.00070000, Max:1.00130000, Min:1.00070000, Close:1.00070000
Open:1.00130000, Max:1.00290000, Min:1.00090000, Close:1.00130000
Open:1.00130000, Max:1.00170000, Min:1.00100000, Close:1.00130000
Open:1.00170000, Max:1.00170000, Min:1.00100000, Close:1.00170000
Open:1.00130000, Max:1.00130000, Min:1.00060000, Close:1.00130000
Open:1.00100000, Max:1.00120000, Min:1.00040000, Close:1.00100000
